"artist","song","won_grammy","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_sec","weeks_on_chart","peak_position","started_charting","charted_q1","charted_q2","charted_q3","charted_q4"
"Ray Parker Jr.","Let Me Go","No",FALSE,0.703,0.262,9,-14.62,"1",0.032,0.747,6.21e-06,0.069,0.249,117.277,"3",304,9,38,1982,FALSE,FALSE,TRUE,FALSE
"Ray Parker Jr.","Bad Boy","No",FALSE,0.882,0.501,7,-11.886,"0",0.035,0.402,0.173,0.248,0.961,119.12,"4",252.24,12,35,1982,TRUE,FALSE,FALSE,TRUE
"Dionne Warwick","Take the Short Way Home","No",FALSE,0.727,0.486,5,-15.321,"0",0.0777,0.158,4.63e-05,0.269,0.943,102.858,"4",233.907,13,41,1983,TRUE,TRUE,FALSE,FALSE
"Bill Withers","Lovely Day","No",FALSE,0.69,0.651,9,-8.267,"1",0.0324,0.292,0.00241,0.105,0.706,97.918,"4",254.56,12,30,1977,TRUE,FALSE,FALSE,TRUE
"Randy Meisner","Deep Inside My Heart","No",FALSE,0.634,0.506,2,-15.088,"1",0.0272,0.0172,3.15e-06,0.0752,0.775,130.16,"4",209.32,16,22,1980,TRUE,FALSE,FALSE,TRUE
"Paul Davis","Do Right","No",FALSE,0.554,0.622,0,-7.02,"1",0.0368,0.213,7.98e-06,0.107,0.635,108.553,"4",241.093,14,23,1980,TRUE,TRUE,FALSE,FALSE
"Paul Davis","Cry Just a Little","No",FALSE,0.561,0.548,10,-6.912,"1",0.0248,0.185,1.82e-05,0.059,0.541,91.807,"4",240.173,4,78,1980,FALSE,FALSE,TRUE,FALSE
"Cowboy Copas","Alabam","No",FALSE,0.771,0.711,7,-8.859,"1",0.0286,0.657,0.0591,0.0962,0.962,106.671,"4",138.493,12,63,1960,FALSE,FALSE,TRUE,TRUE
"The Rubinoos","I Think We're Alone Now","No",FALSE,0.46,0.679,6,-7.115,"0",0.2,0.454,0,0.47,0.662,128.957,"4",259.067,12,45,1977,TRUE,TRUE,FALSE,FALSE
"Chris Lane","I Don't Know About You","No",FALSE,0.593,0.81,1,-5.733,"1",0.0625,0.602,0,0.119,0.712,144.011,"4",207.933,20,39,2019,FALSE,FALSE,TRUE,TRUE
"The Delfonics","Somebody Loves You","No",FALSE,0.541,0.524,9,-7.797,"1",0.0358,0.765,0.279,0.355,0.476,131.976,"4",201.018,3,72,1969,TRUE,FALSE,FALSE,FALSE
"The Delfonics","Break Your Promise","No",FALSE,0.422,0.54,5,-6.697,"1",0.0316,0.467,0.0914,0.441,0.503,155.89,"4",174.951,10,35,1968,FALSE,FALSE,TRUE,TRUE
"The Delfonics","Tell Me This Is A Dream","No",FALSE,0.524,0.63,7,-7.246,"1",0.0292,0.489,0.59,0.482,0.4,132.091,"4",216.686,3,86,1972,FALSE,TRUE,TRUE,FALSE
"The Delfonics","You Got Yours And I'll Get Mine","No",FALSE,0.486,0.546,9,-6.783,"1",0.0302,0.64,0.012,0.377,0.535,149.261,"4",190.444,10,40,1969,FALSE,FALSE,TRUE,TRUE
"The Delfonics","Walk Right Up to the Sun","No",FALSE,0.377,0.46,9,-10.227,"0",0.0328,0.812,9.02e-06,0.203,0.483,143.583,"3",182.28,6,81,1971,FALSE,FALSE,FALSE,TRUE
"Nazz","Hello It's Me","No",FALSE,0.343,0.149,0,-14.034,"1",0.0416,0.888,0,0.092,0.16,81.603,"4",175.52,13,66,1969,TRUE,FALSE,FALSE,FALSE
"24kGoldn","VALENTINO","No",TRUE,0.747,0.717,9,-4.841,"0",0.179,0.199,0,0.132,0.523,150.965,"4",179.133,1,92,2019,FALSE,FALSE,FALSE,TRUE
"Fetty Wap","Trap Queen","No",TRUE,0.746,0.873,7,-3.803,"1",0.128,0.0244,0,0.354,0.817,148.075,"4",222.093,52,2,2015,TRUE,TRUE,TRUE,TRUE
"Fetty Wap","Again","No",TRUE,0.748,0.733,11,-4.421,"0",0.072,0.0062,0,0.329,0.291,93.019,"4",312.24,26,33,2015,TRUE,FALSE,TRUE,TRUE
"Fetty Wap","RGF Island","No",TRUE,0.746,0.764,0,-5.066,"0",0.0423,0.00116,8.19e-06,0.0867,0.518,137.98,"4",173.893,14,57,2015,TRUE,FALSE,FALSE,TRUE
"Andy Williams","Twilight Time","No",FALSE,0.414,0.234,5,-14.743,"1",0.0285,0.918,5.06e-06,0.348,0.286,89.448,"4",157.093,3,86,1962,FALSE,FALSE,FALSE,TRUE
